timestamp_sec,timestamp_nsec,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1729465401,583926626,-0.05216353630853544,0.0060788131116632504,0.978942052263706,0.1972675133433403,-0.0022222222222222222,-0.027777777777777776,0.09,-0.020000000000000018,0.75,8.5
1729465401,605350678,-0.05153261770603494,0.006420607952089536,0.9792875417884891,0.1957014961714581,0.06333333333333334,0.02666666666666667,0.10777777777777778,0.32000000000000006,0.18999999999999995,10.08
1729465401,640414077,-0.05357407612582169,0.007294798849237584,0.9794910695300088,0.1940975244251541,0.015555555555555555,0.1,0.09888888888888889,0.15999999999999992,1.06,8.24
1729465401,673015743,-0.054978975335992795,0.00859135909130514,0.9797116326477254,0.19253212115046384,0.056666666666666664,0.09666666666666666,0.08888888888888889,-0.2500000000000001,0.21999999999999997,8.66
1729465401,701046500,-0.05595273101541426,0.009274920091806055,0.9798565026660998,0.19147976898922467,0.05,0.08888888888888889,0.08888888888888889,0.17999999999999994,0.5700000000000001,9.06
1729465401,739750562,-0.05778918117541714,0.011233078901693212,0.9799246592582863,0.19047805819829924,0.11666666666666667,0.19555555555555557,0.057777777777777775,-0.44999999999999996,-0.24,10.180000000000001
1729465401,772593197,-0.06358660817093129,0.015650243574155356,0.9795831760022258,0.19007528621779984,0.21888888888888888,0.4255555555555556,0.03,-0.77,-0.30000000000000004,8.37
1729465401,799073011,-0.06885168988965079,0.019954506189316462,0.9792200354018459,0.189708683906899,0.23555555555555555,0.44222222222222224,0.05,-0.45999999999999985,-0.029999999999999916,8.28
1729465401,845988227,-0.07478175771269016,0.023736371867961965,0.9789801444573295,0.18826085658535754,0.17888888888888888,0.4166666666666667,0.08888888888888889,0.6300000000000001,2.9800000000000004,12.63
1729465401,869037435,-0.07816685142324943,0.026414147347138463,0.9790272672016719,0.18627357900176142,0.042222222222222223,0.1288888888888889,0.15666666666666668,-1.77,3.03,12.31
1729465401,912828586,-0.0750594353136304,0.025524064000806805,0.9799958026881768,0.18254541911764827,-0.008888888888888889,-0.16,0.14222222222222222,-0.7000000000000001,0.19000000000000006,8.17
1729465401,939431412,-0.07358173284581392,0.02461340317164323,0.9803362344073391,0.1814408346645158,-0.05555555555555555,-0.17444444444444446,0.07444444444444444,-0.64,0.8200000000000001,8.22
1729465401,967384662,-0.07101899143095684,0.02354946563079339,0.9806558074609815,0.18087540689016945,-0.07222222222222222,-0.2011111111111111,0.06777777777777778,-3.05,2.6399999999999997,7.5600000000000005
1729465401,997771036,-0.07054258649056418,0.02033313816681262,0.9816719338202213,0.1758707517843077,-0.24222222222222223,0.04555555555555556,0.30666666666666664,-1.93,1.3599999999999999,8.59
1729465402,34170427,-0.07162469355995464,0.017478072341189355,0.9823474603905339,0.17192407430010215,-0.2511111111111111,0.023333333333333334,0.22333333333333333,0.010000000000000009,1.83,4.35
1729465402,66983237,-0.07158139073075068,0.014588475462082348,0.9827107380604079,0.17012608907957733,-0.19111111111111112,-0.03777777777777778,0.04,-1.46,1.15,8.26
1729465402,113670893,-0.07216566776623645,0.00491163513178612,0.9825110924652116,0.17158072566288332,-0.43666666666666665,-0.07444444444444444,-0.06555555555555556,-5.59,0.16000000000000003,14.92
1729465402,131068091,-0.07228560088064154,0.0009873037794876196,0.9827463975222512,0.17024492736527871,-0.35888888888888887,-0.10111111111111111,0.09111111111111111,-2.25,-0.41,19.17
1729465402,172527402,-0.06416858751496474,-0.0032989860033158214,0.9835778173964438,0.16865997211351605,-0.06,-0.5733333333333334,0.042222222222222223,-1.52,-0.21999999999999997,5.44
1729465402,196450950,-0.058896774848422095,-0.004765011065608521,0.9838844919588721,0.16875950659098024,-0.08222222222222222,-0.5611111111111111,0.03222222222222222,-3.0,1.26,8.8
1729465402,233611139,-0.04966294877861604,-0.005970612138345768,0.9848930772507009,0.16578169287635788,0.19333333333333333,-0.47444444444444445,0.2677777777777778,-0.75,-4.35,10.7
1729465402,274015399,-0.04042423677718262,-0.003777416529063737,0.9857183080914267,0.163435092005124,0.2088888888888889,-0.6544444444444445,0.2111111111111111,-1.1199999999999999,1.3900000000000001,9.32
1729465402,296268286,-0.030915022966894613,-0.003266937920328109,0.9866460924449749,0.15988457316027468,0.1388888888888889,-0.5933333333333334,0.2911111111111111,0.15999999999999992,1.7999999999999998,8.79
1729465402,338489837,-0.024431000930716356,-0.0044631279939282,0.9877521063910946,0.15404214683647066,-0.1622222222222222,-0.16111111111111112,0.3888888888888889,0.0,1.69,9.85
1729465402,364715943,-0.024495880633848284,-0.009044535080957901,0.9888813359472929,0.1463962145420402,-0.32555555555555554,-0.03,0.5,2.81,0.44,5.839999999999999
1729465402,394522134,-0.022062007812069347,-0.01556694224456332,0.9895755276643455,0.14146099521877625,-0.4088888888888889,-0.28555555555555556,0.2911111111111111,0.5800000000000001,0.22,8.309999999999999
1729465402,448416998,-0.020523737735980787,-0.025253190569277256,0.9902573196724733,0.13539384546760433,-0.33111111111111113,0.02666666666666667,0.20777777777777778,-0.13,-0.99,11.15
1729465402,463732574,-0.0217228563695999,-0.026208350936994508,0.9903616567742851,0.1342573224952821,-0.23,0.23555555555555555,0.1988888888888889,0.8199999999999998,-1.1300000000000001,8.18
1729465402,492691370,-0.025775919847684837,-0.028476676022981443,0.9906609466781915,0.1308264866353807,-0.21333333333333335,0.2011111111111111,0.24,0.54,-0.42000000000000004,7.43
